TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,7627,7627,1,Lelan,Lelan,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,145.16,144.5165841,Not Applicable,0,Designated,1958,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7551,7551,1,Cherial,Cherial,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,0.4,0.401079356,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7558,7558,1,Embobut,Embobut,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,219.34,215.9370253,Not Applicable,0,Designated,1954,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7574,7574,1,Kapkanyar,Kapkanyar,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,60.374,57.38293448,Not Applicable,0,Designated,1967,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7660,7660,1,Mount Elgon,Mount Elgon,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,730.89,721.8386191,Not Applicable,0,Designated,1932,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7650,7650,1,Mau Narok,Mau Narok,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.51,8.065363946,Not Applicable,0,Designated,1967,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7614,7614,1,Kiptaberr,Kiptaberr,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,128.01,127.4475389,Not Applicable,0,Designated,1967,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7587,7587,1,Kerrer,Kerrer,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,21.6,22.30962221,Not Applicable,0,Designated,1954,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7612,7612,1,Kipkunurr,Kipkunurr,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,151.757,158.2242238,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7567,7567,1,Kaisungor,Kaisungor,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,10.86,10.83864888,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
